Sentence,Labels,POS,Words
রেনু অলস হওয়া স্বত্বেও ক্লাসে প্রথম দাঁড়াতে সক্ষম,Simple,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'বিশেষণ']","['রেনু', 'অলস', 'হওয়া', 'স্বত্বেও', 'ক্লাসে', 'প্রথম', 'দাঁড়াতে', 'সক্ষম']"
জরুরি অবস্থা থাকার কারনে আমরা আজ আপনার সাথে দেখা করতে পারিনি।,Simple,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'অব্যয়', 'সর্বনাম', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['জরুরি', 'অবস্থা', 'থাকার', 'কারনে', 'আমরা', 'আজ', 'আপনার', 'সাথে', 'দেখা', 'করতে', 'পারিনি।']"
"আপনি কঠোর পরিশ্রম করেন, এবং অবশ্যই সফল হবেন",Compound,"['সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['আপনি', 'কঠোর', 'পরিশ্রম', 'করেন', 'এবং', 'অবশ্যই', 'সফল', 'হবেন']"
আমি একটি সিনেমা দেখব এবং শপিং করতে যাব,Compound,"['সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['আমি', 'একটি', 'সিনেমা', 'দেখব', 'এবং', 'শপিং', 'করতে', 'যাব']"
"রেনু ক্লাসে প্রথম দাঁড়াতে সক্ষম, কিন্তু সে অলস",Compound,"['বিশেষ্য', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষণ']","['রেনু', 'ক্লাসে', 'প্রথম', 'দাঁড়াতে', 'সক্ষম', 'কিন্তু', 'সে', 'অলস']"
জরুরি অবস্থা ছিল এবং আমরা আজ আপনার সাথে দেখা করতে পারিনি,Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'অব্যয়', 'সর্বনাম', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['জরুরি', 'অবস্থা', 'ছিল', 'এবং', 'আমরা', 'আজ', 'আপনার', 'সাথে', 'দেখা', 'করতে', 'পারিনি']"
যিনি কঠোর পরিশ্রম করেন তিনি অবশ্যই সফল হবেন,Complex,"['সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['যিনি', 'কঠোর', 'পরিশ্রম', 'করেন', 'তিনি', 'অবশ্যই', 'সফল', 'হবেন']"
যখন আমি একটি সিনেমা দেখব তখন শপিং করতে যাব,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'আমি', 'একটি', 'সিনেমা', 'দেখব', 'তখন', 'শপিং', 'করতে', 'যাব']"
যখন রেনু ক্লাসে প্রথম দাঁড়াতে সক্ষম তখন সে অলস,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষণ']","['যখন', 'রেনু', 'ক্লাসে', 'প্রথম', 'দাঁড়াতে', 'সক্ষম', 'তখন', 'সে', 'অলস']"
যখন জরুরি অবস্থা ছিল তখন আমরা আজ আপনার সাথে দেখা করতে পারিনি,Complex,"['অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'অব্যয়', 'সর্বনাম', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'জরুরি', 'অবস্থা', 'ছিল', 'তখন', 'আমরা', 'আজ', 'আপনার', 'সাথে', 'দেখা', 'করতে', 'পারিনি']"
আমরা চিড়িয়াখানায় গিয়ে সমস্ত প্রাণী দেখেছি,Simple,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['আমরা', 'চিড়িয়াখানায়', 'গিয়ে', 'সমস্ত', 'প্রাণী', 'দেখেছি']"
সৌরভ সদয় মানুষ হলেও দুষ্ট,Simple,"['বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ']","['সৌরভ', 'সদয়', 'মানুষ', 'হলেও', 'দুষ্ট']"
চিনি শেষ হওয়ার কারনে আমাকে এটি কিনতে হয়েছিল,Simple,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['চিনি', 'শেষ', 'হওয়ার', 'কারনে', 'আমাকে', 'এটি', 'কিনতে', 'হয়েছিল']"
তিনি ফোন হারিয়েছেন বলেই বিরক্ত ছিলেন,Simple,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['তিনি', 'ফোন', 'হারিয়েছেন', 'বলেই', 'বিরক্ত', 'ছিলেন']"
তিনি আহত ছিলেন বলেই পার্টিতে যোগ দেননি,Simple,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['তিনি', 'আহত', 'ছিলেন', 'বলেই', 'পার্টিতে', 'যোগ', 'দেননি']"
তার বয়স হলেও বুদ্ধি হয়নি,Simple,"['সর্বনাম', 'বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['তার', 'বয়স', 'হলেও', 'বুদ্ধি', 'হয়নি']"
"আমরা চিড়িয়াখানায় গিয়েছিলাম, এবং সমস্ত প্রাণী দেখেছি",Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['আমরা', 'চিড়িয়াখানায়', 'গিয়েছিলাম', 'এবং', 'সমস্ত', 'প্রাণী', 'দেখেছি']"
"সৌরভ একজন সদয় মনের মানুষ, এবং দুষ্ট",Compound,"['বিশেষ্য', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ']","['সৌরভ', 'একজন', 'সদয়', 'মনের', 'মানুষ', 'এবং', 'দুষ্ট']"
"চিনি শেষ হয়ে গেছে, এবং তাই আমাকে এটি কিনতে হয়েছিল",Compound,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['চিনি', 'শেষ', 'হয়ে', 'গেছে', 'এবং', 'তাই', 'আমাকে', 'এটি', 'কিনতে', 'হয়েছিল']"
"তিনি ফোন হারিয়েছেন, এবং তাই তিনি বিরক্ত ছিলেন",Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['তিনি', 'ফোন', 'হারিয়েছেন', 'এবং', 'তাই', 'তিনি', 'বিরক্ত', 'ছিলেন']"
"তিনি পার্টিতে যোগ দেননি, কারণ তিনি আহত ছিলেন",Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['তিনি', 'পার্টিতে', 'যোগ', 'দেননি', 'কারণ', 'তিনি', 'আহত', 'ছিলেন']"
তার বয়স হয়েছে কিন্তু বুদ্ধি হয়নি,Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['তার', 'বয়স', 'হয়েছে', 'কিন্তু', 'বুদ্ধি', 'হয়নি']"
যখন আমরা চিড়িয়াখানায় গিয়েছিলাম তখন সমস্ত প্রাণী দেখেছি,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'আমরা', 'চিড়িয়াখানায়', 'গিয়েছিলাম', 'তখন', 'সমস্ত', 'প্রাণী', 'দেখেছি']"
যেহেতু সৌরভ একজন সদয় মনের মানুষ সেহেতু দুষ্ট,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ']","['যেহেতু', 'সৌরভ', 'একজন', 'সদয়', 'মনের', 'মানুষ', 'সেহেতু', 'দুষ্ট']"
যখন চিনি শেষ হয়ে গেছে তখন আমাকে এটি কিনতে হয়েছিল,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'চিনি', 'শেষ', 'হয়ে', 'গেছে', 'তখন', 'আমাকে', 'এটি', 'কিনতে', 'হয়েছিল']"
যখন তিনি ফোন হারিয়েছেন তখন তিনি বিরক্ত ছিলেন,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['যখন', 'তিনি', 'ফোন', 'হারিয়েছেন', 'তখন', 'তিনি', 'বিরক্ত', 'ছিলেন']"
"যখন তিনি পার্টিতে যোগ দেননি, তখন তিনি আহত ছিলেন",Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['যখন', 'তিনি', 'পার্টিতে', 'যোগ', 'দেননি', 'তখন', 'তিনি', 'আহত', 'ছিলেন']"
যদিও তার বয়স হয়েছে তবুও তার বুদ্ধি হয়নি,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['যদিও', 'তার', 'বয়স', 'হয়েছে', 'তবুও', 'তার', 'বুদ্ধি', 'হয়নি']"
লোকটি ধনী হওয়া স্বত্তেও অসুখী,Simple,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ']","['লোকটি', 'ধনী', 'হওয়া', 'স্বত্তেও', 'অসুখী']"
দুঃখ আসলে বিপদ আসে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['দুঃখ', 'আসলে', 'বিপদ', 'আসে']"
তার অফিসে গিয়ে দেখা যায় তিনি অনুপস্থিত,Simple,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষণ']","['তার', 'অফিসে', 'গিয়ে', 'দেখা', 'যায়', 'তিনি', 'অনুপস্থিত']"
পুলিশকে দেখে চোর পালিয়ে যায়,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['পুলিশকে', 'দেখে', 'চোর', 'পালিয়ে', 'যায়']"
শিক্ষার্থীরা প্রধান শিক্ষককে দেখে ক্লাসে প্রবেশ করে,Simple,"['বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['শিক্ষার্থীরা', 'প্রধান', 'শিক্ষককে', 'দেখে', 'ক্লাসে', 'প্রবেশ', 'করে']"
তিনি অলস হওয়ায় তিনি উন্নতি করতে পারেননি,Simple,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['তিনি', 'অলস', 'হওয়ায়', 'তিনি', 'উন্নতি', 'করতে', 'পারেননি']"
লোকটি ধনী ও অসুখী,Compound,"['বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'বিশেষণ']","['লোকটি', 'ধনী', 'ও', 'অসুখী']"
দুঃখ ও বিপদ একসঙ্গে আসে,Compound,"['বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া']","['দুঃখ', 'ও', 'বিপদ', 'একসঙ্গে', 'আসে']"
আমরা তার অফিসে গিয়ে তাকে অনুপস্থিত দেখতে পাই,Compound,"['সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['আমরা', 'তার', 'অফিসে', 'গিয়ে', 'তাকে', 'অনুপস্থিত', 'দেখতে', 'পাই']"
পুলিশকে দেখে এবং চোর পালিয়ে যায়।,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['পুলিশকে', 'দেখে', 'এবং', 'চোর', 'পালিয়ে', 'যায়।']"
শিক্ষার্থীরা প্রধান শিক্ষককে দেখে এবং ক্লাসে প্রবেশ করে,Compound,"['বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['শিক্ষার্থীরা', 'প্রধান', 'শিক্ষককে', 'দেখে', 'এবং', 'ক্লাসে', 'প্রবেশ', 'করে']"
তিনি অলস হওয়ায়র ফলে উন্নতি করতে পারেননি,Compound,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['তিনি', 'অলস', 'হওয়ায়র', 'ফলে', 'উন্নতি', 'করতে', 'পারেননি']"
যেহতু লোকটি ধনী সেহেতু অসুখী,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'বিশেষণ']","['যেহতু', 'লোকটি', 'ধনী', 'সেহেতু', 'অসুখী']"
দুঃখও আসলে বিপদ আসে,Complex,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['দুঃখও', 'আসলে', 'বিপদ', 'আসে']"
যখন আমরা তার অফিসে যাই তখন তাকে অনুপস্থিত দেখতে পাই,Complex,"['অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'আমরা', 'তার', 'অফিসে', 'যাই', 'তখন', 'তাকে', 'অনুপস্থিত', 'দেখতে', 'পাই']"
যখন পুলিশকে দেখে তখন চোর পালিয়ে যায়।,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'পুলিশকে', 'দেখে', 'তখন', 'চোর', 'পালিয়ে', 'যায়।']"
যখন শিক্ষার্থীরা প্রধান শিক্ষককে দেখে তখন ক্লাসে প্রবেশ করে,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'শিক্ষার্থীরা', 'প্রধান', 'শিক্ষককে', 'দেখে', 'তখন', 'ক্লাসে', 'প্রবেশ', 'করে']"
যেহেতু তিনি অলস হওয়ায় সেহেতু তিনি উন্নতি করতে পারেননি,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যেহেতু', 'তিনি', 'অলস', 'হওয়ায়', 'সেহেতু', 'তিনি', 'উন্নতি', 'করতে', 'পারেননি']"
ক্লান্ত হয়ে তিনি যেতে রাজি হননি,Simple,"['বিশেষণ', 'ক্রিয়া', 'সর্বনাম', 'ক্রিয়া', 'বিশেষণ', 'ক্রিয়া']","['ক্লান্ত', 'হয়ে', 'তিনি', 'যেতে', 'রাজি', 'হননি']"
আপনার চিঠি পেয়েছেন বলেই তিনি খুশি,Simple,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ']","['আপনার', 'চিঠি', 'পেয়েছেন', 'বলেই', 'তিনি', 'খুশি']"
বাসায় গিয়ে দেখি মা ঘুমাচ্ছে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['বাসায়', 'গিয়ে', 'দেখি', 'মা', 'ঘুমাচ্ছে']"
কাজ সেরে বাড়ি চলে গেলেন,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['কাজ', 'সেরে', 'বাড়ি', 'চলে', 'গেলেন']"
আমি অসুস্থ থাকায় সভায় উপস্থিত হতে পারিনি,Simple,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['আমি', 'অসুস্থ', 'থাকায়', 'সভায়', 'উপস্থিত', 'হতে', 'পারিনি']"
তিনি ক্লান্ত ছিলেন এবং যেতে রাজি হননি,Compound,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'ক্রিয়া', 'বিশেষণ', 'ক্রিয়া']","['তিনি', 'ক্লান্ত', 'ছিলেন', 'এবং', 'যেতে', 'রাজি', 'হননি']"
তিনি আপনার চিঠি পেয়েছেন এবং তিনি খুশি,Compound,"['সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ']","['তিনি', 'আপনার', 'চিঠি', 'পেয়েছেন', 'এবং', 'তিনি', 'খুশি']"
বাসায় গেলাম এবং দেখলাম মা ঘুমাচ্ছে,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['বাসায়', 'গেলাম', 'এবং', 'দেখলাম', 'মা', 'ঘুমাচ্ছে']"
কাজ সারলেন এবং বাড়ি চলে গেলেন,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['কাজ', 'সারলেন', 'এবং', 'বাড়ি', 'চলে', 'গেলেন']"
আমি অসুস্থ থাকার ফলে সভায় উপস্থিত হতে পারিনি,Compound,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['আমি', 'অসুস্থ', 'থাকার', 'ফলে', 'সভায়', 'উপস্থিত', 'হতে', 'পারিনি']"
যেহেতু তিনি ক্লান্ত ছিলেন সেহেতু তিনি যেতে রাজি হননি,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'বিশেষণ', 'ক্রিয়া']","['যেহেতু', 'তিনি', 'ক্লান্ত', 'ছিলেন', 'সেহেতু', 'তিনি', 'যেতে', 'রাজি', 'হননি']"
যখন তিনি আপনার চিঠি পেয়েছেন তখন তিনি খুশি,Complex,"['অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ']","['যখন', 'তিনি', 'আপনার', 'চিঠি', 'পেয়েছেন', 'তখন', 'তিনি', 'খুশি']"
যখন বাসায় যাই তখন গিয়ে দেখি মা ঘুমাচ্ছে,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'বাসায়', 'যাই', 'তখন', 'গিয়ে', 'দেখি', 'মা', 'ঘুমাচ্ছে']"
যখন তিনি কাজ সারলেন তখন তিনি বাড়ি চলে গেলেন,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'তিনি', 'কাজ', 'সারলেন', 'তখন', 'তিনি', 'বাড়ি', 'চলে', 'গেলেন']"
যখন আমি অসুস্থ ছিলাম তখন সভায় উপস্থিত হতে পারিনি,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'আমি', 'অসুস্থ', 'ছিলাম', 'তখন', 'সভায়', 'উপস্থিত', 'হতে', 'পারিনি']"
পানি নোংরা হওয়ায় পান করতে পারিনি।,Simple,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['পানি', 'নোংরা', 'হওয়ায়', 'পান', 'করতে', 'পারিনি।']"
সে খবর শুনে দুঃখে কেঁদে উঠল,Simple,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['সে', 'খবর', 'শুনে', 'দুঃখে', 'কেঁদে', 'উঠল']"
কাজ সেরে চলে ভারত গেলেন,Simple,"['বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['কাজ', 'সেরে', 'চলে', 'ভারত', 'গেলেন']"
ভয়ঙ্কর দৃশ্য দেখে সে ভয় পেয়ে গেল,Simple,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['ভয়ঙ্কর', 'দৃশ্য', 'দেখে', 'সে', 'ভয়', 'পেয়ে', 'গেল']"
আমি সেখানে গিয়ে তার কথা শুনলাম,Simple,"['সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['আমি', 'সেখানে', 'গিয়ে', 'তার', 'কথা', 'শুনলাম']"
দরজা বন্ধ করার পরে আমি হাঁটতে বের হলাম,Simple,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['দরজা', 'বন্ধ', 'করার', 'পরে', 'আমি', 'হাঁটতে', 'বের', 'হলাম']"
পানি নোংরা ছিলো এবং পান করতে পারিনি।,Compound,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['পানি', 'নোংরা', 'ছিলো', 'এবং', 'পান', 'করতে', 'পারিনি।']"
সে খবর শুনলো এবং দুঃখে কেঁদে উঠল,Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['সে', 'খবর', 'শুনলো', 'এবং', 'দুঃখে', 'কেঁদে', 'উঠল']"
কাজ সারলেন এবং ভারত চলে গেলেন,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['কাজ', 'সারলেন', 'এবং', 'ভারত', 'চলে', 'গেলেন']"
ভয়ঙ্কর দৃশ্য দেখলো ফলে সে ভয় পেয়ে গেল,Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['ভয়ঙ্কর', 'দৃশ্য', 'দেখলো', 'ফলে', 'সে', 'ভয়', 'পেয়ে', 'গেল']"
আমি সেখানে গিলাম এবং তার কথা শুনলাম,Compound,"['সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['আমি', 'সেখানে', 'গিলাম', 'এবং', 'তার', 'কথা', 'শুনলাম']"
দরজা বন্ধ করলাম এবং আমি হাঁটতে বের হলাম,Compound,"['বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['দরজা', 'বন্ধ', 'করলাম', 'এবং', 'আমি', 'হাঁটতে', 'বের', 'হলাম']"
যখন পানি নোংরা ছিলো তখন পান করতে পারিনি।,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'পানি', 'নোংরা', 'ছিলো', 'তখন', 'পান', 'করতে', 'পারিনি।']"
যখন সে খবর শুনলো তখন সে দুঃখে কেঁদে উঠল,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'সে', 'খবর', 'শুনলো', 'তখন', 'সে', 'দুঃখে', 'কেঁদে', 'উঠল']"
যখন তিনি কাজ সারলেন তখন তিনি ভারত চলে গেলেন,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'তিনি', 'কাজ', 'সারলেন', 'তখন', 'তিনি', 'ভারত', 'চলে', 'গেলেন']"
যখন সে ভয়ঙ্কর দৃশ্য দেখলো তখন সে ভয় পেয়ে গেল,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'সে', 'ভয়ঙ্কর', 'দৃশ্য', 'দেখলো', 'তখন', 'সে', 'ভয়', 'পেয়ে', 'গেল']"
যখন আমি সেখানে গেলাম তখন তার কথা শুনলাম,Complex,"['অব্যয়', 'সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'আমি', 'সেখানে', 'গেলাম', 'তখন', 'তার', 'কথা', 'শুনলাম']"
যখন আমি দরজা বন্ধ করলাম তখন আমি হাঁটতে বের হলাম,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'আমি', 'দরজা', 'বন্ধ', 'করলাম', 'তখন', 'আমি', 'হাঁটতে', 'বের', 'হলাম']"
আওয়াজ শুনে ঘুম ভেঙে গেল,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['আওয়াজ', 'শুনে', 'ঘুম', 'ভেঙে', 'গেল']"
